ConsumerRecord(topic='CACG', partition=0, offset=8, timestamp=1650522077019, timestamp_type=0, key=None, value=b'47.2101', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=9, timestamp=1650522078125, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=10, timestamp=1650522079231, timestamp_type=0, key=None, value=b'47.24', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=11, timestamp=1650522080337, timestamp_type=0, key=None, value=b'47.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=12, timestamp=1650522081443, timestamp_type=0, key=None, value=b'47.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=13, timestamp=1650522082549, timestamp_type=0, key=None, value=b'47.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=14, timestamp=1650522083655, timestamp_type=0, key=None, value=b'47.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=15, timestamp=1650522084761, timestamp_type=0, key=None, value=b'47.22', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=16, timestamp=1650522085868, timestamp_type=0, key=None, value=b'47.31', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=17, timestamp=1650522086995, timestamp_type=0, key=None, value=b'47.31', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=18, timestamp=1650522088101, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=19, timestamp=1650522089208, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=20, timestamp=1650522090314, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=21, timestamp=1650522091420, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=22, timestamp=1650522092525, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=23, timestamp=1650522093630, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=24, timestamp=1650522094736, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=25, timestamp=1650522095842, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=26, timestamp=1650522096948, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=27, timestamp=1650522098054, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=28, timestamp=1650522099160, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=29, timestamp=1650522100267, timestamp_type=0, key=None, value=b'47.2011', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=30, timestamp=1650522101372, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=31, timestamp=1650522102478, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=32, timestamp=1650522103584, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=33, timestamp=1650522104689, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=34, timestamp=1650522105795, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=35, timestamp=1650522106900, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=36, timestamp=1650522108006, timestamp_type=0, key=None, value=b'47.31', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=37, timestamp=1650522109112, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=38, timestamp=1650522110217, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=39, timestamp=1650522111323, timestamp_type=0, key=None, value=b'47.28', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=40, timestamp=1650522112428, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=41, timestamp=1650522113536, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=42, timestamp=1650522114642, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=43, timestamp=1650522115746, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=44, timestamp=1650522116852, timestamp_type=0, key=None, value=b'47.19', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=45, timestamp=1650522117958, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=46, timestamp=1650522119063, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=47, timestamp=1650522120169, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=48, timestamp=1650522121274, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=49, timestamp=1650522122380, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=50, timestamp=1650522123485, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=51, timestamp=1650522124591, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=52, timestamp=1650522125696, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=53, timestamp=1650522126803, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=54, timestamp=1650522127909, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=55, timestamp=1650522129014, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=56, timestamp=1650522130120, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=57, timestamp=1650522131226, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=58, timestamp=1650522132331, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=59, timestamp=1650522133437, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=60, timestamp=1650522134542, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=61, timestamp=1650522135648, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=62, timestamp=1650522136753, timestamp_type=0, key=None, value=b'47.36', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
