ConsumerRecord(topic='AAPL', partition=0, offset=5, timestamp=1650522073836, timestamp_type=0, key=None, value=b'134.65', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=6, timestamp=1650522074942, timestamp_type=0, key=None, value=b'134.67', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=7, timestamp=1650522076048, timestamp_type=0, key=None, value=b'134.75', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=8, timestamp=1650522077154, timestamp_type=0, key=None, value=b'134.81', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=9, timestamp=1650522078260, timestamp_type=0, key=None, value=b'134.73', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=10, timestamp=1650522079366, timestamp_type=0, key=None, value=b'134.84', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=11, timestamp=1650522080472, timestamp_type=0, key=None, value=b'134.8', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=12, timestamp=1650522081578, timestamp_type=0, key=None, value=b'134.84', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=13, timestamp=1650522082684, timestamp_type=0, key=None, value=b'134.91', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=14, timestamp=1650522083789, timestamp_type=0, key=None, value=b'135.0', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=15, timestamp=1650522084895, timestamp_type=0, key=None, value=b'135.08', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=16, timestamp=1650522086002, timestamp_type=0, key=None, value=b'135.1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=17, timestamp=1650522087130, timestamp_type=0, key=None, value=b'135.03', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=18, timestamp=1650522088236, timestamp_type=0, key=None, value=b'134.84', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='AAPL', partition=0, offset=19, timestamp=1650522089342, timestamp_type=0, key=None, value=b'135.18', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
