ConsumerRecord(topic='OND', partition=0, offset=1, timestamp=1650522069292, timestamp_type=0, key=None, value=b'39.5399', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=2, timestamp=1650522070398, timestamp_type=0, key=None, value=b'39.4999', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=3, timestamp=1650522071504, timestamp_type=0, key=None, value=b'39.735', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=4, timestamp=1650522072611, timestamp_type=0, key=None, value=b'39.48', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=5, timestamp=1650522073718, timestamp_type=0, key=None, value=b'39.5', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=6, timestamp=1650522074824, timestamp_type=0, key=None, value=b'40.35', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=7, timestamp=1650522075931, timestamp_type=0, key=None, value=b'39.57', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=8, timestamp=1650522077037, timestamp_type=0, key=None, value=b'39.78', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=9, timestamp=1650522078143, timestamp_type=0, key=None, value=b'39.59', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=10, timestamp=1650522079250, timestamp_type=0, key=None, value=b'39.07', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=11, timestamp=1650522080356, timestamp_type=0, key=None, value=b'39.11', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=12, timestamp=1650522081461, timestamp_type=0, key=None, value=b'39.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=13, timestamp=1650522082567, timestamp_type=0, key=None, value=b'39.14', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=14, timestamp=1650522083673, timestamp_type=0, key=None, value=b'39.09', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=15, timestamp=1650522084779, timestamp_type=0, key=None, value=b'39.16', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=16, timestamp=1650522085886, timestamp_type=0, key=None, value=b'39.08', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=17, timestamp=1650522087016, timestamp_type=0, key=None, value=b'39.05', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=18, timestamp=1650522088122, timestamp_type=0, key=None, value=b'39.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=19, timestamp=1650522089227, timestamp_type=0, key=None, value=b'39.26', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=20, timestamp=1650522090333, timestamp_type=0, key=None, value=b'39.32', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=21, timestamp=1650522091438, timestamp_type=0, key=None, value=b'39.32', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=22, timestamp=1650522092544, timestamp_type=0, key=None, value=b'39.28', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=23, timestamp=1650522093649, timestamp_type=0, key=None, value=b'39.35', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=24, timestamp=1650522094754, timestamp_type=0, key=None, value=b'39.38', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=25, timestamp=1650522095860, timestamp_type=0, key=None, value=b'39.39', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=26, timestamp=1650522096966, timestamp_type=0, key=None, value=b'39.39', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=27, timestamp=1650522098072, timestamp_type=0, key=None, value=b'39.77', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=28, timestamp=1650522099178, timestamp_type=0, key=None, value=b'39.731', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=29, timestamp=1650522100285, timestamp_type=0, key=None, value=b'39.93', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=30, timestamp=1650522101389, timestamp_type=0, key=None, value=b'39.711', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=31, timestamp=1650522102498, timestamp_type=0, key=None, value=b'39.73', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=32, timestamp=1650522103602, timestamp_type=0, key=None, value=b'39.68', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=33, timestamp=1650522104706, timestamp_type=0, key=None, value=b'39.52', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=34, timestamp=1650522105812, timestamp_type=0, key=None, value=b'39.54', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=35, timestamp=1650522106916, timestamp_type=0, key=None, value=b'39.3', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=36, timestamp=1650522108021, timestamp_type=0, key=None, value=b'39.12', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=37, timestamp=1650522109126, timestamp_type=0, key=None, value=b'39.0', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=38, timestamp=1650522110232, timestamp_type=0, key=None, value=b'39.06', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=39, timestamp=1650522111336, timestamp_type=0, key=None, value=b'38.99', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=40, timestamp=1650522112442, timestamp_type=0, key=None, value=b'38.81', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=41, timestamp=1650522113547, timestamp_type=0, key=None, value=b'38.83', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=42, timestamp=1650522114652, timestamp_type=0, key=None, value=b'38.94', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=43, timestamp=1650522115758, timestamp_type=0, key=None, value=b'38.97', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=44, timestamp=1650522116864, timestamp_type=0, key=None, value=b'38.97', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=45, timestamp=1650522117969, timestamp_type=0, key=None, value=b'38.9', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=46, timestamp=1650522119075, timestamp_type=0, key=None, value=b'38.88', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=47, timestamp=1650522120180, timestamp_type=0, key=None, value=b'38.87', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=48, timestamp=1650522121286, timestamp_type=0, key=None, value=b'38.86', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=49, timestamp=1650522122392, timestamp_type=0, key=None, value=b'39.96', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=50, timestamp=1650522123497, timestamp_type=0, key=None, value=b'40.0', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=51, timestamp=1650522124603, timestamp_type=0, key=None, value=b'40.2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=52, timestamp=1650522125708, timestamp_type=0, key=None, value=b'40.22', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=53, timestamp=1650522126815, timestamp_type=0, key=None, value=b'40.13', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=54, timestamp=1650522127921, timestamp_type=0, key=None, value=b'40.09', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=55, timestamp=1650522129026, timestamp_type=0, key=None, value=b'40.05', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
