ConsumerRecord(topic='AXAS', partition=0, offset=5, timestamp=1650522073712, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=6, timestamp=1650522074818, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=7, timestamp=1650522075925, timestamp_type=0, key=None, value=b'6872', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=8, timestamp=1650522077032, timestamp_type=0, key=None, value=b'12017', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=9, timestamp=1650522078138, timestamp_type=0, key=None, value=b'106', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=10, timestamp=1650522079244, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=11, timestamp=1650522080350, timestamp_type=0, key=None, value=b'14152', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=12, timestamp=1650522081456, timestamp_type=0, key=None, value=b'10100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=13, timestamp=1650522082562, timestamp_type=0, key=None, value=b'11338', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=14, timestamp=1650522083668, timestamp_type=0, key=None, value=b'10809', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=15, timestamp=1650522084774, timestamp_type=0, key=None, value=b'595', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=16, timestamp=1650522085881, timestamp_type=0, key=None, value=b'918', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=17, timestamp=1650522087008, timestamp_type=0, key=None, value=b'455', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=18, timestamp=1650522088114, timestamp_type=0, key=None, value=b'1016', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=19, timestamp=1650522089219, timestamp_type=0, key=None, value=b'1945', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=20, timestamp=1650522090325, timestamp_type=0, key=None, value=b'259', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=21, timestamp=1650522091430, timestamp_type=0, key=None, value=b'200', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=22, timestamp=1650522092536, timestamp_type=0, key=None, value=b'216', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=23, timestamp=1650522093641, timestamp_type=0, key=None, value=b'105', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=24, timestamp=1650522094746, timestamp_type=0, key=None, value=b'144', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=25, timestamp=1650522095852, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=26, timestamp=1650522096958, timestamp_type=0, key=None, value=b'503', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=27, timestamp=1650522098063, timestamp_type=0, key=None, value=b'1720', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=28, timestamp=1650522099168, timestamp_type=0, key=None, value=b'3439', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=29, timestamp=1650522100275, timestamp_type=0, key=None, value=b'1329', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=30, timestamp=1650522101380, timestamp_type=0, key=None, value=b'1532', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
