Recieved start
Publishing~altitude 10.0.0.2~1644525228.4804823
Publishing~sound 10.0.0.2~1644525230.4829018
Publishing~temperature 10.0.0.2~1644525232.4855273
Publishing~altitude 10.0.0.2~1644525234.486527
Publishing~pressure 10.0.0.2~1644525236.4890718
Publishing~humidity 10.0.0.2~1644525238.4905233
Publishing~sound 10.0.0.2~1644525240.4930537
Publishing~sound 10.0.0.2~1644525242.4956253
Publishing~location 10.0.0.2~1644525244.4981663
Publishing~humidity 10.0.0.2~1644525246.4997072
Publishing~humidity 10.0.0.2~1644525248.5021658
Publishing~temperature 10.0.0.2~1644525250.5046437
Publishing~location 10.0.0.2~1644525252.5071158
Publishing~weather 10.0.0.2~1644525254.5094926
Publishing~altitude 10.0.0.2~1644525256.511225
Publishing~pressure 10.0.0.2~1644525258.513688
Publishing~weather 10.0.0.2~1644525260.5161986
Publishing~location 10.0.0.2~1644525262.5185285
Publishing~sound 10.0.0.2~1644525264.5210357
Publishing~temperature 10.0.0.2~1644525266.523455
Publishing~temperature 10.0.0.2~1644525268.5260794
Publishing~pressure 10.0.0.2~1644525270.5286157
Publishing~pressure 10.0.0.2~1644525272.5305295
Publishing~location 10.0.0.2~1644525274.533055
Publishing~temperature 10.0.0.2~1644525276.534524
Publishing~sound 10.0.0.2~1644525278.5370362
Publishing~altitude 10.0.0.2~1644525280.5396106
Publishing~altitude 10.0.0.2~1644525282.5422046
Publishing~altitude 10.0.0.2~1644525284.544754
Publishing~humidity 10.0.0.2~1644525286.5473075
Publishing~weather 10.0.0.2~1644525288.549882
Publishing~altitude 10.0.0.2~1644525290.5505233
Publishing~weather 10.0.0.2~1644525292.5530522
Publishing~temperature 10.0.0.2~1644525294.5545316
Publishing~weather 10.0.0.2~1644525296.557081
Publishing~humidity 10.0.0.2~1644525298.5585318
Publishing~location 10.0.0.2~1644525300.5610414
Publishing~location 10.0.0.2~1644525302.5625331
Publishing~pressure 10.0.0.2~1644525304.5650759
